"Time (s)","Sound pressure level (dB)"
0.000000000E0,-5.517778026E1
1.441851667E-1,-5.127630741E1
2.469900000E-1,-4.838279658E1
3.524786667E-1,-4.191284807E1
4.580671667E-1,-3.520249419E1
5.603880000E-1,-3.608713875E1
6.623566250E-1,-3.815092058E1
7.688911667E-1,-3.456475777E1
8.749184167E-1,-3.461199107E1
9.770867500E-1,-3.940732171E1
1.083758958E0,-4.268892712E1
1.190209833E0,-2.965342024E1
1.293821708E0,-3.293204445E1
1.395877792E0,-3.177938004E1
1.502311958E0,-3.966542814E1
1.608264667E0,-4.491316344E1
1.713075917E0,-3.203383099E1
1.819504917E0,-3.153659598E1
1.921910667E0,-3.028299901E1
2.027096333E0,-3.444853627E1
2.133363083E0,-4.042003571E1
2.238194750E0,-3.717081416E1
2.343767417E0,-3.815775337E1
2.450097583E0,-3.905523200E1
2.554820000E0,-4.022838957E1
2.660499375E0,-3.789045871E1
2.766781167E0,-3.664899768E1
2.871428208E0,-3.852720254E1
2.977191792E0,-3.755131447E1
3.081478333E0,-3.234532844E1
3.187804542E0,-3.215407453E1
3.293868458E0,-3.238671926E1
3.398551583E0,-3.440045820E1
3.504824500E0,-3.504964190E1
3.610637292E0,-3.709563183E1
3.712556375E0,-3.410114323E1
3.818991500E0,-3.376221667E1
3.921450583E0,-3.014933787E1
4.027271458E0,-3.432628516E1
4.130899458E0,-4.225762908E1
4.237296125E0,-4.024945462E1
4.343570042E0,-3.647542150E1
4.445575333E0,-3.746587539E1
4.550525083E0,-3.886376117E1
4.654624833E0,-3.717946436E1
4.760783083E0,-3.161888786E1
4.868179000E0,-3.348194962E1
4.971565125E0,-3.279401925E1
5.077365708E0,-2.868189407E1
5.183815958E0,-3.862629650E1
5.288177792E0,-4.662683211E1
5.394052958E0,-4.809771311E1
5.499109667E0,-5.078518972E1
5.604811083E0,-4.830237316E1
5.710749958E0,-3.609195318E1
5.812955458E0,-4.271692939E1
5.918716833E0,-4.278044045E1
6.021488833E0,-4.187552039E1
6.127365542E0,-4.297669429E1
6.228178875E0,-3.875859834E1
6.334440958E0,-3.502709633E1
6.438117083E0,-3.422316750E1
6.544081250E0,-4.401889181E1
6.647490792E0,-4.623642232E1
6.753959750E0,-4.548004819E1
6.857873917E0,-4.660755647E1
6.960770208E0,-4.588729273E1
7.065181917E0,-4.307108269E1
7.171479167E0,-3.746462311E1
7.277491000E0,-3.583506014E1
7.381760958E0,-3.843550199E1
7.488099167E0,-3.862469110E1
7.594181083E0,-3.774321160E1
7.700465292E0,-3.891897617E1
7.803516500E0,-3.850768365E1
7.909788792E0,-3.931440682E1
8.012975542E0,-5.260034824E1
8.119269375E0,-4.851693442E1
8.225521208E0,-5.090401606E1
8.327554625E0,-3.502019249E1
8.433236000E0,-4.025820479E1
8.537037833E0,-3.196031912E1
8.643345333E0,-3.530277105E1
8.746519000E0,-3.240942017E1
8.847929292E0,-2.986569975E1
8.953694208E0,-3.113337226E1
9.056461333E0,-3.652572592E1
9.160944375E0,-5.055312323E1
9.264919167E0,-4.617527233E1
9.370387750E0,-3.670343797E1
