"Time (s)","Sound pressure level (dB)"
0.000000000E0,-5.796252832E1
1.064328000E0,-5.548080563E1
1.179598042E0,-5.474936445E1
1.285232625E0,-4.917609622E1
1.390211833E0,-4.158366772E1
1.494686750E0,-4.614470575E1
1.597678917E0,-4.927582296E1
1.700635833E0,-5.133049812E1
1.806946958E0,-5.138910298E1
1.912097625E0,-5.346329633E1
2.018150167E0,-4.945252523E1
2.124293375E0,-5.319263762E1
2.229791750E0,-4.809615716E1
2.336129125E0,-4.554628772E1
2.440926167E0,-4.709260746E1
2.546421000E0,-4.850972168E1
2.651285833E0,-4.759712186E1
2.757558167E0,-4.652689774E1
2.863143458E0,-4.800831632E1
2.969458083E0,-4.808614049E1
3.074306458E0,-5.026648543E1
3.179849333E0,-4.427511794E1
3.286191458E0,-4.746610773E1
3.390938708E0,-4.330667541E1
3.496519833E0,-4.370836818E1
3.601334667E0,-3.948147139E1
3.707694917E0,-4.106580516E1
3.813124083E0,-4.928043173E1
3.917327458E0,-4.513207167E1
4.023787208E0,-4.106596342E1
4.129836375E0,-4.492250899E1
4.235614542E0,-4.737862661E1
4.340982542E0,-4.788062067E1
4.447017792E0,-5.005223668E1
4.553366708E0,-5.228318472E1
4.657659417E0,-4.993866272E1
4.763238000E0,-4.784835740E1
4.866164875E0,-5.085636363E1
4.972604458E0,-5.039636880E1
5.074481958E0,-5.199395390E1
5.178860208E0,-4.987525524E1
5.279854125E0,-4.909700782E1
5.381594417E0,-4.936261315E1
5.483171625E0,-5.005762054E1
5.589524167E0,-5.160014051E1
5.691189000E0,-5.195907852E1
5.797659667E0,-5.252576685E1
5.903948583E0,-5.093609818E1
6.007878000E0,-5.065141661E1
6.113291833E0,-4.978706176E1
6.219833375E0,-5.170047626E1
6.324496167E0,-4.919425126E1
6.429877917E0,-4.860145619E1
6.536305500E0,-5.275928488E1
6.641238083E0,-5.173309730E1
6.746574333E0,-4.918379428E1
6.849640875E0,-5.250299610E1
6.955961667E0,-5.310660942E1
7.057882542E0,-5.207741878E1
7.163076792E0,-4.567337812E1
7.267851042E0,-4.702958643E1
7.373377208E0,-4.367944196E1
7.474475125E0,-5.314311097E1
7.579716167E0,-4.739829426E1
7.683150000E0,-4.826859154E1
7.789016417E0,-4.755207793E1
7.891344333E0,-4.880221684E1
7.997696583E0,-4.798730761E1
8.102133042E0,-5.150911639E1
8.208053583E0,-4.720196163E1
8.312200917E0,-4.663780354E1
8.414166750E0,-4.747916114E1
8.520387667E0,-4.502341921E1
8.626768625E0,-4.300564486E1
8.729741625E0,-3.134307926E1
8.834684708E0,-4.694979156E1
8.940151000E0,-4.580177722E1
9.046536833E0,-4.721468539E1
9.153364375E0,-4.917368071E1
9.258101333E0,-5.196525352E1
9.363222417E0,-5.350354101E1
9.469337333E0,-5.356837558E1
9.574791458E0,-5.246597021E1
9.679882042E0,-5.251851442E1
9.786523000E0,-5.400121143E1
9.891506208E0,-5.198135698E1
9.997650625E0,-5.216725303E1
1.010119787E1,-5.358804777E1
1.020758850E1,-5.261132568E1
1.031323762E1,-5.149575340E1
1.041642242E1,-4.270353911E1
1.052267271E1,-4.305951362E1
1.062483096E1,-4.691372728E1
1.073116596E1,-5.100953009E1
1.083748671E1,-5.258439775E1
1.094149550E1,-5.258828337E1
1.104656917E1,-5.318542027E1
1.115067308E1,-5.354011676E1
1.125651121E1,-4.992706195E1
1.135819067E1,-5.295146726E1
1.146454087E1,-5.171848698E1
1.157085017E1,-5.345551157E1
1.167489433E1,-5.020685171E1
1.177983437E1,-4.813490035E1
1.188628104E1,-4.937209824E1
1.199162013E1,-5.039687053E1
1.209770933E1,-5.267431394E1
1.220048504E1,-5.146452557E1
1.230406812E1,-5.003844040E1
1.240828567E1,-5.225791202E1
1.251415600E1,-4.911628180E1
